estrategia,R
IB_1R,-1.0
IB_1R,-1.0
IB_1R,1.0
IB_1R,1.0
IB_2R,-0.3213
IB_2R,0.9624
IB_2R,2.0
IB_2R,0.4247
IB_2R,-1.0
IB_2R,-0.1475
IB_2R,0.6958
IB_2R,-1.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,2.0
IB_2R,0.871
IB_3R,-0.3213
IB_3R,0.9624
IB_3R,1.2356
IB_3R,0.4247
IB_3R,-1.0
IB_3R,-0.1475
IB_3R,0.6958
IB_3R,-1.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,3.0
IB_3R,0.871
IB_parc2R,-0.3213
IB_parc2R,0.9624
IB_parc2R,1.0
IB_parc2R,0.4247
IB_parc2R,-1.0
IB_parc2R,-0.1475
IB_parc2R,0.6958
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,2.5
IB_parc2R,0.871
DIDI_pivo_TRIX,3.2792
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.0191
DIDI_pivo_TRIX,3.2163
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.0334
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.7589
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.1704
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.5879
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.8037
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,0.9113
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.0341
DIDI_pivo_TRIX,1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,0.6555
DIDI_pivo_TRIX,2.7639
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.9323
DIDI_pivo_ADX,0.8911
DIDI_pivo_ADX,0.25
DIDI_pivo_ADX,0.4685
DIDI_pivo_ADX,-0.5748
DIDI_pivo_ADX,2.1093
DIDI_pivo_ADX,-0.1335
DIDI_pivo_ADX,0.5408
DIDI_pivo_ADX,-0.3158
DIDI_pivo_ADX,0.3186
DIDI_pivo_ADX,-0.0571
DIDI_pivo_ADX,0.3221
DIDI_pivo_ADX,0.4545
DIDI_pivo_ADX,-0.2841
DIDI_pivo_ADX,-0.0461
DIDI_pivo_ADX,-0.1803
DIDI_pivo_ADX,0.1269
DIDI_pivo_ADX,-0.253
DIDI_pivo_ADX,-0.2887
DIDI_pivo_ADX,-0.266
DIDI_pivo_ADX,-0.1599
DIDI_pivo_ADX,-0.2575
DIDI_pivo_ADX,2.6905
DIDI_pivo_ADX,-0.0018
DIDI_pivo_ADX,-0.4972
DIDI_pivo_ADX,-0.3784
DIDI_pivo_ADX,-0.3042
DIDI_pivo_ADX,0.8734
DIDI_pivo_ADX,-0.5312
DIDI_pivo_ADX,-0.5109
DIDI_pivo_ADX,-0.2744
DIDI_pivo_ADX,-0.536
DIDI_pivo_ADX,-0.3981
DIDI_pivo_ADX,-0.3183
DIDI_pivo_ADX,0.0118
DIDI_pivo_ADX,-0.5126
DIDI_pivo_ADX,-0.2652
DIDI_pivo_ADX,-0.0231
DIDI_pivo_ADX,-0.3206
DIDI_pivo_ADX,0.3787
DIDI_pivo_ADX,-0.545
DIDI_pivo_ADX,-0.4764
DIDI_pivo_ADX,-0.1188
DIDI_pivo_ADX,-0.2366
DIDI_pivo_ADX,-0.199
DIDI_pivo_ADX,-0.1881
DIDI_pivo_ADX,-0.4744
DIDI_pivo_ADX,0.2697
DIDI_pivo_ADX,0.4942
DIDI_pivo_ADX,0.1802
DIDI_pivo_ADX,-0.0798
DIDI_pivo_ADX,0.7289
DIDI_pivo_ADX,1.3499
DIDI_pivo_ADX,-0.2362
DIDI_pivo_ADX,-0.255
DIDI_pivo_ADX,-1.0
DIDI_pivo_ADX,-0.3298
DIDI_pivo_ADX,0.6084
DIDI_pivo_ADX,1.0473
DIDI_pivo_ADX,0.0601
DIDI_pivo_ADX,1.9663
DIDI_pivo_ADX,-0.1459
DIDI_pivo_ADX,-0.3397
DIDI_pivo_ADX,-0.6806
DIDI_pivo_ADX,-0.2285
DIDI_pivo_ADX,-0.4185
DIDI_pivo_ADX,-0.2766
DIDI_pivo_ADX,-0.4146
DIDI_pivo_ADX,0.2817
DIDI_pivo_ADX,0.0952
