data,ticker,market,sistema,entrada,stop,alvo_2r,r_pct,tipo,mme70,confluencia,bb_primeira,didi_ago,adx_ago,acima_ema70,ema70_incl,quality,vol_qtd,var_dia_pct
2026-09-14,WST,EUA,DIDI,355.4,335.51,395.18,5.6,ADXHOJE,ACIMA_SUB,False,False,1,0,True,sobe,74.2,336182.0,1.56
2026-09-14,HACK,EUA,DIDI,118.9,107.58,141.53,9.52,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,88.2,929994.0,5.88
2026-09-14,USDCAD=X,EUA,DIDI,1.39,1.38,1.42,1.02,3JUNTOS,ABAIXO,True,True,0,0,False,lado,94.2,0.0,0.26
2026-09-14,EURGBP=X,EUA,DIDI,0.86,0.86,0.85,0.3,3JUNTOS,ABAIXO,True,True,0,0,False,lado,99.7,0.0,-0.3
2026-09-14,EURUSD=X,EUA,DIDI,1.16,1.16,1.15,0.44,ADXHOJE,ABAIXO,True,False,0,0,False,lado,94.8,0.0,-0.42
2026-09-14,AUDUSD=X,EUA,DIDI,0.71,0.72,0.71,0.43,ADXHOJE,ACIMA_SUB,True,False,0,0,True,sobe,84.5,0.0,-0.43
2026-09-14,GBPUSD=X,EUA,DIDI,1.35,1.35,1.34,0.2,ABERTURA,ACIMA_LAT,False,True,0,2,True,lado,73.5,0.0,-0.17
2026-09-14,DBB,EUA,DIDI,25.1,25.14,25.04,0.12,ADXHOJE,ABAIXO,False,False,1,0,False,sobe,52.7,346941.0,-0.38
2026-09-14,ABBV,EUA,DIDI,261.77,246.77,291.77,5.73,ADXHOJE,ACIMA_SUB,True,False,0,0,True,sobe,75.2,4019787.0,0.04
2026-09-14,TTEK,EUA,DIDI,36.71,35.3,39.53,3.84,ADXHOJE,ACIMA_SUB,False,False,1,0,True,sobe,78.2,2460224.0,0.3
2026-09-14,SUN,EUA,DIDI,79.13,73.62,90.15,6.96,ADXHOJE,ACIMA_SUB,False,False,3,0,True,sobe,68.3,977424.0,1.45
2026-09-18,CASH3,B3,DIDI,5.51,5.13,6.27,6.9,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,68.2,2618500.0,2.23
2026-09-18,ACA,EUA,DIDI,145.84,145.0,147.52,0.58,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,100.0,1223460.0,0.27
2026-09-18,ADI,EUA,DIDI,375.72,356.12,414.92,5.22,3JUNTOS,ACIMA_LAT,True,True,0,0,True,desce,93.7,7697018.0,3.06
2026-09-18,MSTR,EUA,DIDI,153.92,121.38,219.0,21.14,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,91.2,54152295.0,12.7
2026-09-18,SNDK,EUA,DIDI,1791.82,1435.61,2504.24,19.88,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,88.6,17602837.0,10.33
2026-09-18,COIN,EUA,DIDI,194.25,172.03,238.69,11.44,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,80.0,21822131.0,9.03
2026-09-18,HALO,EUA,DIDI,112.45,103.47,130.41,7.99,ABERTURA,ACIMA_SUB,False,True,1,1,True,sobe,87.6,10182436.0,2.49
2026-09-18,MXL,EUA,DIDI,81.12,64.71,113.94,20.23,ABERTURA,ACIMA_SUB,False,True,1,2,True,sobe,62.2,4867180.0,6.61
2026-09-18,AVT,EUA,DIDI,96.12,86.36,115.63,10.15,ABERTURA,ACIMA_SUB,False,True,0,1,True,sobe,61.0,2665078.0,2.46
2026-09-18,DXCM,EUA,DIDI,89.35,82.29,103.47,7.9,ADXHOJE,ACIMA_SUB,False,False,2,0,True,sobe,73.0,14523057.0,1.04
2026-09-18,ARKK,EUA,DIDI,88.23,82.42,99.85,6.59,ADXHOJE,ACIMA_SUB,False,False,1,0,True,sobe,77.8,4381520.0,0.78
2026-09-19,ACA,EUA,DIDI,145.84,145.0,147.52,0.58,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,100.0,1247400.0,0.27
2026-09-19,ADI,EUA,DIDI,375.72,356.12,414.92,5.22,3JUNTOS,ACIMA_LAT,True,True,0,0,True,desce,93.7,7701300.0,3.47
2026-09-19,MSTR,EUA,DIDI,153.92,121.38,219.0,21.14,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,91.2,54407200.0,12.7
2026-09-19,SNDK,EUA,DIDI,1791.82,1435.61,2504.24,19.88,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,88.6,17693500.0,10.25
2026-09-19,COIN,EUA,DIDI,194.25,172.03,238.69,11.44,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,80.0,21861700.0,9.03
2026-09-19,HALO,EUA,DIDI,112.45,103.47,130.41,7.99,ABERTURA,ACIMA_SUB,False,True,1,1,True,sobe,87.6,10183400.0,2.49
2026-09-19,MXL,EUA,DIDI,81.12,64.71,113.94,20.23,ABERTURA,ACIMA_SUB,False,True,1,2,True,sobe,62.2,4906400.0,6.61
2026-09-19,AVT,EUA,DIDI,96.12,86.36,115.63,10.15,ABERTURA,ACIMA_SUB,False,True,0,1,True,sobe,61.0,2684900.0,2.46
2026-09-19,DXCM,EUA,DIDI,89.35,82.29,103.47,7.9,ADXHOJE,ACIMA_SUB,False,False,2,0,True,sobe,73.0,14573000.0,1.73
2026-09-19,CASH3,B3,DIDI,5.73,5.13,6.93,10.47,3JUNTOS,ACIMA_SUB,True,True,0,0,True,sobe,98.1,1753000.0,3.24
