ticker,entrada_data,entry,stop,alvo,saida_data,R
BA,2022-08-15,170.47,163.45,191.53,2022-08-19,-1.0
BA,2022-11-30,178.88,168.52,209.96,2023-01-06,3.0
BA,2023-07-05,213.31,202.55,245.59,2023-09-19,-1.0
BA,2025-01-23,178.5,164.62,220.14,2025-03-04,-1.0
BA,2025-08-15,235.26,215.9,293.34,2025-09-12,-1.0
BA,2026-05-06,229.93,215.4,273.52,2026-05-19,-1.0
BAC,2017-01-03,18.09,17.83,18.86,2017-01-17,-1.0
BAC,2017-09-27,20.64,18.48,27.12,2017-12-21,1.71
BAC,2017-12-28,24.3,23.42,26.97,2018-03-12,3.0
BAC,2018-01-12,25.44,24.08,29.52,2018-02-05,-1.0
BAC,2018-01-29,26.33,24.74,31.07,2018-02-05,-1.0
BAC,2018-02-26,26.44,23.76,34.49,2018-03-28,-1.0
BAC,2018-05-22,25.29,23.27,31.33,2018-06-25,-1.0
BAC,2019-02-04,23.99,18.82,39.49,2019-05-01,0.25
BAC,2019-12-24,29.92,27.5,37.17,2020-02-25,-1.0
BAC,2021-01-06,28.04,24.55,38.54,2021-04-05,1.96
BAC,2021-09-07,36.56,35.13,40.84,2021-09-14,-1.0
BAC,2024-10-09,38.45,37.05,42.64,2024-11-06,3.0
BAC,2024-10-11,40.13,37.05,49.37,2025-01-08,1.4
BAC,2025-07-01,46.88,42.51,60.0,2025-09-25,0.89
BAC,2026-07-31,61.64,59.77,67.25,2026-09-11,0.56
BBDC4.SA,2017-08-07,10.5,9.75,12.75,2017-10-30,1.72
BBDC4.SA,2018-07-30,11.83,10.85,14.79,2018-08-13,-1.0
BBDC4.SA,2018-08-03,12.21,10.85,16.29,2018-08-13,-1.0
BBDC4.SA,2018-11-16,14.18,11.95,20.89,2019-02-18,1.48
BBDC4.SA,2018-12-06,14.51,13.61,17.21,2019-01-31,3.0
BBDC4.SA,2019-07-24,18.33,17.62,20.48,2019-07-25,-1.0
BBDC4.SA,2019-10-25,17.35,14.97,24.48,2020-01-27,-0.32
BBDC4.SA,2021-05-18,15.66,14.27,19.84,2021-08-12,-0.77
BBDC4.SA,2021-06-01,16.7,14.27,23.98,2021-08-19,-1.0
BBDC4.SA,2023-05-19,12.14,10.09,18.31,2023-08-14,-0.2
BBDC4.SA,2023-06-05,12.35,11.71,14.25,2023-08-07,-1.0
BBDC4.SA,2025-09-29,16.39,15.46,19.2,2025-12-23,0.92
BBDC4.SA,2025-11-25,17.74,16.74,20.75,2025-12-09,-1.0
CAT,2017-05-15,84.35,81.24,93.69,2017-05-18,-1.0
CAT,2017-07-12,89.74,87.18,97.43,2017-08-30,3.0
CAT,2017-08-22,96.08,93.53,103.72,2017-09-20,3.0
CAT,2017-10-06,105.3,102.55,113.53,2017-10-24,3.0
CAT,2017-11-06,114.92,112.73,121.5,2017-11-09,-1.0
CAT,2018-08-27,120.42,109.73,152.49,2018-10-23,-1.0
CAT,2019-07-12,119.52,108.41,152.85,2019-08-02,-1.0
CAT,2020-07-24,123.59,120.61,132.53,2020-07-31,-1.0
CAT,2020-07-29,126.24,120.61,143.13,2020-07-31,-1.0
CAT,2020-11-23,157.96,135.23,226.15,2021-02-22,1.77
CAT,2020-12-24,162.28,159.35,171.07,2020-12-29,-1.0
