ticker,entrada_data,entry,stop,alvo,saida_data,R
PFE,2021-04-09,27.57,26.55,30.62,2021-05-05,3.0
PFE,2021-05-03,30.0,26.93,39.2,2021-07-28,0.99
PFE,2021-11-26,41.81,31.42,72.97,2022-02-23,-0.5
PFE,2025-07-01,23.0,21.84,26.5,2025-07-31,-1.0
PFE,2025-12-05,24.75,23.81,27.58,2025-12-16,-1.0
PFE,2025-12-11,24.53,23.81,26.7,2025-12-16,-1.0
PFE,2026-02-27,26.73,25.49,30.48,2026-03-03,-1.0
PG,2017-02-02,67.88,66.54,71.92,2017-05-01,-0.0
PG,2018-08-15,66.84,64.51,73.83,2018-10-11,-1.0
PG,2019-08-27,100.91,94.32,120.67,2019-11-20,0.32
PG,2019-09-04,103.13,97.46,120.16,2019-11-27,-0.1
PG,2020-08-20,117.48,105.96,152.03,2020-11-13,0.61
PG,2022-08-15,133.78,124.47,161.68,2022-08-31,-1.0
PG,2022-08-18,134.87,124.47,166.04,2022-08-31,-1.0
PG,2024-08-19,159.57,157.11,166.96,2024-09-05,3.0
PG,2024-08-30,162.53,157.11,178.79,2024-11-04,-1.0
RADL3.SA,2017-05-30,12.22,10.83,16.38,2017-08-22,-0.11
RADL3.SA,2017-06-26,12.27,11.91,13.38,2017-06-28,-1.0
RADL3.SA,2017-09-14,12.91,11.64,16.73,2017-12-07,1.61
RADL3.SA,2017-10-13,13.33,12.37,16.21,2018-01-08,1.96
RADL3.SA,2019-01-28,11.19,10.51,13.24,2019-02-06,-1.0
RADL3.SA,2019-09-24,16.65,15.73,19.39,2019-11-01,3.0
RADL3.SA,2020-01-29,22.28,18.62,33.24,2020-03-11,-1.0
RADL3.SA,2021-05-24,24.51,22.03,31.94,2021-06-25,-1.0
RADL3.SA,2023-01-23,21.58,20.06,26.14,2023-02-28,-1.0
RADL3.SA,2023-01-27,22.36,20.06,29.27,2023-02-28,-1.0
RADL3.SA,2023-05-02,23.74,22.34,27.97,2023-07-26,2.13
RADL3.SA,2024-03-19,25.96,23.68,32.81,2024-04-16,-1.0
RADL3.SA,2025-09-17,17.79,16.04,23.02,2025-11-19,3.0
RADL3.SA,2025-09-29,17.36,16.72,19.25,2025-10-27,3.0
RADL3.SA,2026-02-19,26.13,23.7,33.4,2026-03-03,-1.0
RENT3.SA,2017-08-01,13.42,10.76,21.42,2017-10-24,0.72
RENT3.SA,2017-12-26,16.77,15.84,19.55,2018-01-29,3.0
RENT3.SA,2018-01-02,17.69,15.84,23.22,2018-03-12,3.0
RENT3.SA,2019-02-22,27.23,24.36,35.83,2019-03-28,-1.0
RENT3.SA,2020-08-28,41.84,38.82,50.9,2020-10-09,3.0
RENT3.SA,2020-09-23,49.43,39.36,79.63,2020-12-21,0.57
RENT3.SA,2020-11-27,55.69,52.72,64.59,2020-12-10,-1.0
RENT3.SA,2022-03-24,50.03,44.45,66.78,2022-05-02,-1.0
RENT3.SA,2022-08-03,50.63,44.88,67.87,2022-10-28,1.22
RENT3.SA,2023-06-29,59.7,56.21,70.16,2023-08-14,-1.0
RENT3.SA,2023-07-07,61.62,56.82,76.01,2023-08-14,-1.0
RENT3.SA,2025-06-16,42.31,40.1,48.94,2025-06-23,-1.0
RENT3.SA,2025-09-16,37.23,31.14,55.52,2025-12-10,1.17
SO,2017-02-13,33.01,32.26,35.24,2017-02-15,-1.0
SO,2017-03-17,34.38,33.45,37.17,2017-04-11,-1.0
SO,2017-05-30,34.71,33.87,37.25,2017-06-27,-1.0
SO,2018-04-27,33.03,32.08,35.87,2018-05-08,-1.0
SO,2019-02-11,36.46,31.47,51.43,2019-05-08,0.53
SO,2019-04-12,39.35,38.14,42.97,2019-07-10,3.0
SO,2019-05-23,41.2,39.1,47.52,2019-08-19,1.52
SO,2019-09-17,46.41,44.89,50.96,2019-12-11,0.38
SO,2021-03-23,49.49,46.55,58.33,2021-06-17,0.93
SO,2021-03-29,50.87,47.78,60.16,2021-06-23,-0.06
SO,2021-08-13,54.58,52.07,62.14,2021-09-27,-1.0
SO,2021-12-15,56.19,51.34,70.74,2022-03-14,0.45
SO,2023-04-17,63.96,60.35,74.81,2023-07-13,-0.04
SO,2023-11-27,64.0,60.59,74.22,2024-02-08,-1.0
SO,2024-03-19,64.63,60.74,76.28,2024-06-13,2.18
SUZB3.SA,2018-03-07,18.88,18.15,21.07,2018-03-16,3.0
SUZB3.SA,2019-12-11,34.21,32.87,38.25,2020-01-13,3.0
SUZB3.SA,2020-12-22,50.37,43.24,71.74,2021-03-25,1.9
SUZB3.SA,2021-02-04,56.46,53.86,64.27,2021-02-18,3.0
SUZB3.SA,2021-09-08,54.65,52.57,60.91,2021-09-13,-1.0
SUZB3.SA,2021-12-16,52.66,49.85,61.1,2022-01-25,-1.0
SUZB3.SA,2025-01-02,61.07,57.87,70.67,2025-02-10,-1.0
SUZB3.SA,2026-01-14,52.16,49.03,61.58,2026-01-30,-1.0
SUZB3.SA,2026-02-24,58.57,48.35,89.26,2026-04-07,-1.0
SUZB3.SA,2026-09-08,47.03,45.22,52.46,2026-09-11,0.43
T,2016-12-22,16.32,14.58,21.55,2017-03-22,-0.09
T,2019-08-13,16.33,15.55,18.68,2019-11-04,3.0
T,2019-08-22,16.58,15.91,18.59,2019-11-01,3.0
T,2019-11-07,18.81,18.07,21.01,2019-11-19,-1.0
T,2019-12-12,18.3,17.61,20.36,2020-02-27,-1.0
T,2020-11-23,14.91,13.73,18.45,2021-02-22,0.61
T,2021-04-21,16.42,15.98,17.74,2021-05-10,3.0
T,2022-05-12,15.59,14.87,17.75,2022-06-16,-1.0
T,2022-06-07,16.71,15.21,21.22,2022-06-15,-1.0
T,2022-11-08,15.14,14.73,16.36,2022-12-19,-1.0
T,2022-11-10,15.36,14.73,17.24,2022-12-19,-1.0
T,2022-11-23,15.56,15.1,16.96,2022-12-15,-1.0
T,2024-01-02,15.01,14.22,17.36,2024-03-28,0.71
T,2024-06-21,16.54,15.65,19.18,2024-09-09,3.0
T,2024-08-19,17.78,17.0,20.1,2024-09-16,3.0
T,2024-11-21,21.23,20.13,24.53,2025-01-08,-1.0
T,2025-03-21,25.28,23.29,31.26,2025-06-17,0.43
T,2026-08-13,24.58,22.55,30.67,2026-09-11,0.73
T,2026-08-21,25.29,22.55,33.51,2026-09-11,0.28
UNH,2016-12-07,136.32,127.77,161.96,2017-03-07,0.89
UNH,2016-12-13,137.29,133.61,148.35,2017-01-18,-1.0
UNH,2016-12-16,140.2,133.61,159.98,2017-01-18,-1.0
UNH,2016-12-23,139.42,133.61,156.87,2017-01-18,-1.0
UNH,2017-08-31,171.44,164.31,192.82,2017-09-22,-1.0
UNH,2017-11-03,184.18,160.93,253.92,2018-02-01,0.86
UNH,2017-11-21,183.94,180.94,192.95,2017-11-29,3.0
UNH,2018-01-26,215.7,193.62,281.96,2018-02-05,-1.0
UNH,2018-06-04,213.07,209.25,224.54,2018-07-10,3.0
UNH,2018-08-07,225.21,220.47,239.42,2018-10-31,0.85
UNH,2018-09-06,236.49,226.88,265.33,2018-09-11,-1.0
UNH,2019-06-14,217.67,207.4,248.47,2019-08-22,-1.0
UNH,2019-11-15,240.11,222.01,294.42,2020-02-13,1.67
UNH,2020-05-05,263.32,245.54,316.67,2020-07-30,0.68
UNH,2021-04-15,355.95,329.06,436.61,2021-07-12,0.94
UNH,2021-05-03,370.45,358.04,407.69,2021-06-18,-1.0
UNH,2022-07-08,481.42,456.93,554.88,2022-10-03,-0.06
UNH,2022-08-03,501.86,474.46,584.03,2022-09-14,-1.0
UNH,2023-12-13,520.51,499.51,583.53,2023-12-15,-1.0
UNH,2024-05-06,470.57,454.09,519.99,2024-05-29,-1.0
UNH,2024-07-30,550.9,528.41,618.34,2024-10-15,-1.0
UNH,2025-10-07,356.41,325.97,447.73,2025-11-03,-1.0
UNH,2026-01-02,331.91,317.36,375.57,2026-01-27,-1.0
UNH,2026-06-15,411.04,372.59,526.38,2026-09-10,-0.59
UNH,2026-06-22,406.68,372.59,508.94,2026-09-11,-0.81
UPS,2017-08-22,79.99,74.12,97.6,2017-11-15,-0.1
UPS,2017-08-29,80.2,78.65,84.82,2017-10-27,3.0
UPS,2019-02-21,81.15,71.76,109.32,2019-05-13,-1.0
UPS,2019-04-17,83.86,82.27,88.66,2019-04-25,-1.0
UPS,2020-06-05,81.8,67.44,124.88,2020-08-25,3.0
UPS,2020-06-30,85.28,80.91,98.39,2020-07-30,3.0
UPS,2020-07-29,94.87,86.71,119.33,2020-08-07,3.0
UPS,2020-09-02,127.97,120.66,149.89,2020-09-04,-1.0
UPS,2021-11-09,165.75,139.83,243.5,2022-02-04,0.49
UPS,2025-06-09,91.46,88.36,100.77,2025-07-29,-1.0
UPS,2025-07-25,95.38,90.5,109.99,2025-07-29,-1.0
UPS,2025-10-27,83.72,76.95,104.05,2026-01-09,3.0
UPS,2025-11-07,90.04,80.98,117.2,2026-02-05,2.34
VALE3.SA,2018-02-23,23.28,20.17,32.6,2018-05-22,1.11
VALE3.SA,2019-12-02,26.99,24.69,33.9,2020-02-26,-1.0
VALE3.SA,2020-07-06,30.53,29.17,34.61,2020-09-29,1.67
VALE3.SA,2020-11-16,36.5,33.61,45.15,2020-12-01,3.0
VALE3.SA,2020-12-23,49.11,35.11,91.11,2021-03-26,0.5
VALE3.SA,2021-01-04,51.42,35.11,100.33,2021-04-01,0.36
VALE3.SA,2022-01-06,52.5,50.49,58.51,2022-01-19,3.0
VALE3.SA,2022-01-18,57.08,50.49,76.84,2022-04-14,0.94
VALE3.SA,2022-11-24,58.84,56.55,65.71,2023-01-05,3.0
VALE3.SA,2022-12-26,63.14,61.06,69.38,2023-01-25,3.0
VALE3.SA,2025-09-03,51.39,48.86,58.99,2025-10-30,3.0
VALE3.SA,2025-09-25,53.8,50.66,63.23,2025-12-02,3.0
VALE3.SA,2025-11-28,62.3,59.28,71.37,2025-12-22,3.0
VALE3.SA,2025-12-22,70.93,63.69,92.66,2026-03-24,0.7
VZ,2016-12-06,29.74,29.12,31.6,2016-12-22,3.0
VZ,2016-12-09,30.41,29.12,34.27,2017-01-26,-1.0
VZ,2017-10-03,30.5,27.97,38.1,2017-11-06,-1.0
VZ,2018-10-23,37.11,34.26,45.65,2018-12-26,-1.0
VZ,2018-11-07,37.39,36.03,41.48,2018-12-17,-1.0
VZ,2018-11-16,39.05,36.03,48.12,2018-12-17,-1.0
VZ,2019-09-18,40.1,37.22,48.75,2019-12-12,0.44
VZ,2020-08-18,41.32,40.63,43.39,2020-10-19,-1.0
VZ,2021-04-16,42.01,41.21,44.44,2021-04-22,-1.0
VZ,2023-11-20,30.68,29.56,34.01,2024-01-23,3.0
VZ,2024-08-14,35.87,34.77,39.19,2024-09-16,3.0
VZ,2025-08-15,41.41,39.47,47.22,2025-10-06,-1.0
WEGE3.SA,2017-05-30,6.32,5.55,8.62,2017-08-22,0.6
WEGE3.SA,2017-09-13,7.11,6.84,7.92,2017-10-30,-1.0
WEGE3.SA,2017-12-21,7.92,7.27,9.84,2018-02-06,-1.0
WEGE3.SA,2017-12-26,8.08,7.49,9.85,2018-02-02,-1.0
WEGE3.SA,2018-01-11,8.3,7.87,9.6,2018-01-29,-1.0
WEGE3.SA,2018-05-24,8.05,7.04,11.09,2018-06-05,-1.0
WEGE3.SA,2019-11-29,13.36,12.51,15.89,2020-01-16,3.0
WEGE3.SA,2022-11-24,36.22,34.18,42.35,2022-11-28,-1.0
WEGE3.SA,2024-03-19,36.24,34.15,42.52,2024-06-14,0.03
WEGE3.SA,2024-04-08,35.77,35.18,37.54,2024-04-15,-1.0
WEGE3.SA,2024-08-21,50.29,42.83,72.69,2024-11-13,0.17
WEGE3.SA,2024-09-04,50.25,42.83,72.54,2024-11-29,0.08
WFC,2016-11-30,40.52,39.02,45.02,2017-02-15,3.0
WFC,2016-12-05,41.61,39.35,48.41,2017-03-03,1.67
WFC,2017-01-03,42.88,41.37,47.4,2017-01-11,-1.0
WFC,2017-10-31,43.9,41.44,51.26,2018-01-24,3.0
WFC,2018-01-03,48.47,47.76,50.6,2018-01-18,3.0
WFC,2018-08-02,46.52,44.57,52.36,2018-09-13,-1.0
WFC,2018-08-27,47.51,46.13,51.66,2018-09-07,-1.0
WFC,2019-09-27,42.34,40.34,48.35,2019-10-03,-1.0
WFC,2019-10-24,42.66,39.51,52.13,2020-01-22,-0.55
WFC,2019-11-12,45.7,42.71,54.69,2020-01-14,-1.0
WFC,2020-12-10,25.86,23.92,31.67,2021-02-17,3.0
WFC,2020-12-23,26.61,25.25,30.69,2021-01-14,3.0
WFC,2021-05-04,40.23,36.74,50.71,2021-06-18,-1.0
WFC,2022-11-30,43.62,41.36,50.38,2022-12-02,-1.0
WFC,2023-02-07,44.06,36.8,65.83,2023-03-10,-1.0
WFC,2024-03-27,54.42,53.17,58.19,2024-04-11,-1.0
WFC,2024-05-08,57.84,55.85,63.82,2024-05-29,-1.0
WFC,2024-11-06,69.38,52.09,121.25,2025-02-05,0.45
WFC,2025-12-22,92.75,86.76,110.73,2026-01-14,-1.0
WMT,2017-03-08,19.97,18.54,24.26,2017-06-02,2.07
WMT,2017-04-26,21.59,20.43,25.06,2017-07-21,0.3
WMT,2017-05-03,21.68,20.43,25.44,2017-07-28,1.05
WMT,2017-05-31,22.64,21.59,25.79,2017-06-16,-1.0
WMT,2017-11-01,25.49,22.68,33.92,2018-01-30,2.1
WMT,2017-12-13,28.49,28.02,29.91,2018-01-17,3.0
WMT,2018-01-05,29.18,28.71,30.59,2018-01-22,3.0
WMT,2018-07-17,26.02,24.6,30.26,2018-10-10,1.7
WMT,2018-09-05,28.67,27.98,30.74,2018-09-18,-1.0
WMT,2019-02-12,28.93,27.78,32.38,2019-05-09,0.94
WMT,2021-05-03,44.16,42.74,48.43,2021-05-12,-1.0
WMT,2021-08-03,44.87,43.6,48.66,2021-09-30,-1.0
WMT,2022-10-26,44.9,40.74,57.37,2023-01-24,0.19
WMT,2023-04-18,48.05,43.46,61.82,2023-07-14,0.38
WMT,2024-05-31,64.4,58.21,82.96,2024-08-27,1.68
WMT,2024-06-04,65.22,58.21,86.26,2024-08-29,1.4
WMT,2024-07-16,68.54,65.17,78.65,2024-09-13,3.0
WMT,2024-09-30,79.3,76.1,88.91,2024-11-22,3.0
WMT,2024-10-09,78.96,76.1,87.53,2024-11-22,3.0
XOM,2016-11-25,57.06,55.56,61.56,2017-01-19,-1.0
XOM,2017-05-22,54.9,53.8,58.21,2017-05-31,-1.0
XOM,2017-10-17,55.89,53.67,62.54,2018-01-12,1.63
XOM,2017-11-06,56.42,55.25,59.94,2017-11-15,-1.0
XOM,2017-12-21,57.01,55.87,60.44,2018-01-24,3.0
XOM,2018-07-13,57.8,55.02,66.15,2018-08-13,-1.0
XOM,2019-07-12,56.21,54.61,61.04,2019-07-17,-1.0
XOM,2020-11-23,31.54,27.94,42.33,2021-02-16,3.0
XOM,2022-06-03,86.08,71.82,128.87,2022-07-06,-1.0
XOM,2024-03-01,97.68,92.68,112.69,2024-04-05,3.0
XOM,2024-03-25,105.81,92.68,145.21,2024-06-20,-0.14
XOM,2025-07-10,110.66,103.17,133.14,2025-08-04,-1.0
